id,target_name_id/id,indicator_id/id,target_numeric
pm_target_housing_units,pm_target_period_2025_26,pm_indicator_housing_units,4970
pm_target_serviced_sites,pm_target_period_2025_26,pm_indicator_serviced_sites,4345
pm_target_defects,pm_target_period_2025_26,pm_indicator_defects,1158
pm_target_isbt,pm_target_period_2025_26,pm_indicator_isbt,3
pm_target_veterans,pm_target_period_2025_26,pm_indicator_veterans,143
pm_target_informal_phase1,pm_target_period_2025_26,pm_indicator_informal_phase1,30
pm_target_informal_phase2,pm_target_period_2025_26,pm_indicator_informal_phase2,47
pm_target_informal_phase3,pm_target_period_2025_26,pm_indicator_informal_phase3,83
pm_target_fhf,pm_target_period_2025_26,pm_indicator_fhf,260
pm_target_isu,pm_target_period_2025_26,pm_indicator_isu,77
pm_target_amenities,pm_target_period_2025_26,pm_indicator_amenities,2
pm_target_destitute,pm_target_period_2025_26,pm_indicator_destitute,4827
pm_target_title_deeds,pm_target_period_2025_26,pm_indicator_title_deeds,1666
pm_target_jobs,pm_target_period_2025_26,pm_indicator_jobs,5834
pm_target_msmE_allocation,pm_target_period_2025_26,pm_indicator_msmE_allocation,40
pm_target_youth,pm_target_period_2025_26,pm_indicator_youth,142
pm_target_municipalities,pm_target_period_2025_26,pm_indicator_municipalities,39
pm_target_black_industrialists,pm_target_period_2025_26,pm_indicator_black_industrialists,10
pm_target_land_parcels,pm_target_period_2025_26,pm_indicator_land_parcels,5
